Time,GeneralEvent,Forehead_Acc_X,Forehead_Acc_Y,Forehead_Acc_Z,Forehead_Gyr_X,Forehead_Gyr_Y,Forehead_Gyr_Z
1.83 sec,Standing,0.266442,-9.072034,3.618011,0.015703,-0.020681,0.009492
1.84 sec,Standing,0.26549,-9.092387,3.606593,0.013162,-0.029765,0.009094
1.85 sec,Standing,0.265945,-9.091856,3.607898,0.017478,-0.03683,0.00731
1.86 sec,Standing,0.263249,-9.124713,3.61732,0.012463,-0.047669,0.010807
1.87 sec,Standing,0.267544,-9.091,3.609936,0.007868,-0.052588,0.009242
1.88 sec,Standing,0.314738,-9.107453,3.634335,0.009646,-0.060066,0.013965
1.89 sec,Standing,0.336946,-9.14262,3.644649,0.009671,-0.066779,0.007612
1.9 sec,Standing,0.360747,-9.15682,3.667813,0.015092,-0.071968,0.007516
1.91 sec,Standing,0.345066,-9.087355,3.651348,0.020344,-0.076457,0.012092
1.92 sec,Standing,0.423878,-9.038738,3.661681,0.023597,-0.074769,0.01606
1.93 sec,Standing,0.42515,-9.0381,3.663108,0.015347,-0.082015,0.01932
1.94 sec,Standing,0.40143,-9.035563,3.662689,0.012803,-0.075737,0.032176
1.95 sec,Standing,0.374632,-9.04579,3.682541,0.001379,-0.077348,0.03576
1.96 sec,Standing,0.346547,-9.106431,3.642931,-0.004362,-0.08085,0.035684
1.97 sec,Standing,0.32316,-9.083701,3.653546,-0.004739,-0.088188,0.038118
1.98 sec,Standing,0.348151,-9.094631,3.620402,-0.009516,-0.092444,0.041238
1.99 sec,Standing,0.351199,-9.061712,3.611102,-0.006471,-0.098791,0.042958
2 sec,Standing,0.353313,-9.020326,3.635531,-0.003532,-0.105799,0.046732
2.01 sec,Standing,0.350568,-9.062365,3.609525,-0.004897,-0.11243,0.045963
2.02 sec,Standing,0.372382,-9.077388,3.630793,-0.003187,-0.118662,0.053269
2.03 sec,Standing,0.373055,-9.056814,3.642764,-0.001219,-0.121598,0.057013
2.04 sec,Standing,0.395561,-9.080186,3.630621,-0.002561,-0.129616,0.053622
2.05 sec,Standing,0.395381,-9.080497,3.629861,-0.002751,-0.132371,0.055096
2.06 sec,Standing,0.370921,-9.078561,3.628007,-0.003164,-0.139809,0.057507
2.07 sec,Standing,0.418477,-9.075165,3.662544,-0.006921,-0.142895,0.064375
2.08 sec,Standing,0.468806,-9.07618,3.608868,-0.00794,-0.137528,0.066957
2.09 sec,Standing,0.468503,-9.047694,3.653324,-0.014015,-0.14309,0.073067
2.1 sec,Standing,0.484503,-9.126013,3.635124,-0.018715,-0.142069,0.079932
2.11 sec,Standing,0.457579,-9.124707,3.63197,-0.016506,-0.135664,0.088513
2.12 sec,Standing,0.454554,-9.125606,3.63009,-0.011001,-0.138362,0.08682
2.13 sec,Standing,0.404438,-9.100782,3.639461,-0.011083,-0.135782,0.092025
2.14 sec,Standing,0.402833,-9.08901,3.617156,-0.007952,-0.138251,0.094804
2.15 sec,Standing,0.378305,-9.053983,3.606703,-0.011535,-0.138707,0.100185
2.16 sec,Standing,0.349932,-9.05239,3.604228,-0.01602,-0.137722,0.100336
2.17 sec,Standing,0.319828,-9.063394,3.622322,-0.019907,-0.147625,0.100846
2.18 sec,Standing,0.319712,-9.031278,3.611372,-0.028913,-0.147544,0.100627
2.19 sec,Standing,0.236026,-9.10004,3.589299,-0.033473,-0.151293,0.094983
2.2 sec,Standing,0.21223,-9.073933,3.543413,-0.036474,-0.164048,0.098094
2.21 sec,Standing,0.202126,-9.142089,3.556183,-0.037969,-0.173567,0.092052
2.22 sec,Standing,0.177813,-9.120132,3.56474,-0.033041,-0.18583,0.092137
2.23 sec,Standing,0.180042,-9.088161,3.553128,-0.033475,-0.194158,0.089819
2.24 sec,Standing,0.124432,-9.138339,3.544478,-0.03544,-0.207149,0.094019
2.25 sec,Standing,0.126736,-9.114584,3.499332,-0.032825,-0.21996,0.093886
2.26 sec,Standing,0.122789,-9.141009,3.537643,-0.036466,-0.24243,0.098778
2.27 sec,Standing,0.120769,-9.154913,3.555044,-0.032968,-0.256856,0.10382
2.28 sec,Standing,0.143864,-9.167175,3.518287,-0.033472,-0.280547,0.114052
2.29 sec,Standing,0.119599,-9.157595,3.548168,-0.035677,-0.293894,0.1249
2.3 sec,Standing,0.142768,-9.161828,3.544531,-0.035775,-0.310269,0.1327
2.31 sec,Standing,0.160598,-9.212054,3.569719,-0.038098,-0.326478,0.138271
2.32 sec,Standing,0.162027,-9.192897,3.578371,-0.037086,-0.342466,0.145078
2.33 sec,Standing,0.153148,-9.260915,3.591244,-0.028854,-0.351007,0.147325
2.34 sec,Standing,0.108101,-9.222925,3.580591,-0.026035,-0.374871,0.14522
2.35 sec,Standing,0.162399,-9.18839,3.602673,-0.015583,-0.383768,0.14288
2.36 sec,Standing,0.140276,-9.173542,3.580321,-0.013846,-0.405004,0.14487
2.37 sec,Standing,0.175795,-9.102463,3.59524,-0.004632,-0.414642,0.143412
2.38 sec,Standing,0.222463,-9.142201,3.601242,0.002973,-0.431134,0.141144
2.39 sec,Standing,0.208025,-9.085215,3.605964,0.009661,-0.443814,0.145545
2.4 sec,Standing,0.165031,-9.040991,3.545352,0.015869,-0.46294,0.150389
2.41 sec,Standing,0.17152,-9.019978,3.558614,0.017436,-0.499237,0.156073
2.42 sec,Standing,0.179744,-8.974056,3.529391,0.003829,-0.527366,0.170861
2.43 sec,Standing,0.130541,-9.001148,3.539223,-0.008466,-0.56749,0.189094
2.44 sec,Standing,0.102112,-9.027304,3.492768,-0.018537,-0.60799,0.218496
2.45 sec,Standing,0.075119,-9.045757,3.478791,-0.035901,-0.654864,0.250774
2.46 sec,Standing,-0.005658,-9.091007,3.475578,-0.052937,-0.710278,0.284141
2.47 sec,Standing,-0.043918,-9.126214,3.392858,-0.069307,-0.772848,0.334721
2.48 sec,Standing,-0.033834,-9.198635,3.401088,-0.082334,-0.832936,0.38268
2.49 sec,Standing,-0.026689,-9.271598,3.407806,-0.095615,-0.881024,0.430744
2.5 sec,Standing,-0.003148,-9.369272,3.398481,-0.0987,-0.937894,0.476202
2.51 sec,Standing,0.001261,-9.384398,3.353027,-0.104059,-0.968782,0.520092
2.52 sec,Standing,-0.125998,-9.445618,3.33961,-0.099375,-1.017984,0.552979
2.53 sec,Standing,-0.237525,-9.516973,3.29314,-0.082547,-1.06589,0.582427
2.54 sec,Standing,-0.264951,-9.525415,3.256116,-0.057539,-1.12101,0.616292
2.55 sec,Standing,-0.338113,-9.478104,3.19974,-0.044726,-1.170134,0.646859
2.56 sec,Standing,-0.369671,-9.4845,3.167449,-0.030525,-1.222634,0.67425
2.57 sec,Standing,-0.476278,-9.450112,3.108962,-0.016056,-1.269936,0.700931
2.58 sec,Standing,-0.546434,-9.391373,3.093913,-0.013612,-1.328483,0.726542
2.59 sec,Standing,-0.6066,-9.429699,2.990708,-0.009308,-1.383737,0.746369
2.6 sec,Standing,-0.665755,-9.439976,2.992537,-0.001985,-1.442328,0.758451
2.61 sec,Standing,-0.622803,-9.463943,3.00632,0.008392,-1.495571,0.776519
2.62 sec,Standing,-0.545356,-9.4284,2.995533,0.019435,-1.542756,0.783923
2.63 sec,Standing,-0.537963,-9.441947,2.961769,0.030734,-1.58755,0.794433
2.64 sec,Standing,-0.543191,-9.442358,2.96765,0.049921,-1.624616,0.806452
2.65 sec,Standing,-0.504799,-9.422106,3.010074,0.051681,-1.666012,0.814825
2.66 sec,Standing,-0.587169,-9.534287,2.958681,0.069181,-1.698606,0.820588
2.67 sec,Standing,-0.650076,-9.527198,2.952947,0.082355,-1.74344,0.830588
2.68 sec,Standing,-0.657272,-9.479899,2.994291,0.094194,-1.795226,0.843745
2.69 sec,Standing,-0.623707,-9.570504,2.970338,0.105627,-1.836003,0.857997
2.7 sec,Standing,-0.681134,-9.52859,2.961328,0.115631,-1.877525,0.873748
2.71 sec,Standing,-0.763416,-9.465951,2.884634,0.125062,-1.931951,0.891131
